plate,review_reason_code,customer_meaning,reviewer_comments,status,our decision,notes
SEL14,7,MY DAUGHTERS INITIALS AND BIRTH YEAR,14-HITLER,N,Y,Approved
LXIXMLB,1,1969 MALIBU,69 IN ROMAN NUMERALS. COULDN'T VERIFY 1969 VEHICLE,N,Y,Approved
NISMO88,7,NO MICRO,88-HITLER,N,Y,Approved
559MIKE,7,NAME,559 RIVERDALE AREA CODE,N,Y,Approved
RD KING1,7,NO MICRO,"ROAD KING, OR RED KING. MOTORCYCLE",Y,N,invalid length
4O8JEFE,7,FOR MY DAD,408 SAN JOSE AREA CODE,N,Y,Approved
BLUE 444,7,BLUE COLOR AND NUMBER,BLUE-GANG. ON A WHALE TAIL.,Y,N,invalid length
BUI13,7,MY SONS LAST NAME AND DATE OF BIRTH,13-GANG,N,Y,Approved
H8TRFFC,2,HATE TRAFFIC,HATE,N,Y,Approved
STLRS69,1,IM A PITTSBURG STEELERS FAN AND I WAS BORN IN 1969,NO 69 VEHICLE VERIFIED,N,Y,Approved
M6I2A88,2,NAME AND NUMBER,88-HITLER,N,Y,Approved
QTH8TN,2,IT MEANS QUIT HATING,HATING,N,Y,Approved
TIME2JZ,1,MY MOTOR IS A JZ MOTOR,TIME TO JIZ…EJACULATE,N,Y,Approved
ECOB31O,7,NO MICRO,310 LA AREA CODE,N,Y,Approved
L$J788,7,NO MICRO,88-HITLER RELATED. BUT IT HAS A 7 WITH IT?,Y,N,invalid characters
8$8 SUN,7,NO MICRO,88-HITLER RELATED,Y,N,invalid characters
LA213CA,7,LA IS FOR LOS ANGELES 213 IS THE AREA CODE FOR LOSA ANGELES AND CA IS FOR CALIFORNIA,213 LA AREA CODE,N,Y,Approved
IFKNCU2,3,IMPORT FANATIC KEVIN NGUYEN CU2 (CU2 IS CHASSIS OF VEHICLE),I FUCKEN SEE YOU TO,N,Y,Approved
PRPLHAZ,7,PURPLE HAZE (CAR IS PURPLE),PURPLE HAZE IS A STRAIN OF CANNIBAS. BUT ALSO A JIMI HENDRIX SONG WHICH IS DRUG RELATED,N,Y,Approved
TRD4X4,4,TOYOTA RACING DEVELOPMENT,TRD-RETARD. DOES HAVE A TOYOTA,N,Y,Approved
WECAN69,1,WE CAN GO ON A RIDE IN THE 1969,"DOES HAVE A 69 CAR BUT THIS IS SEXUAL. ""WE CAN 69""",N,Y,Approved
WSCXC13,7,WORLD STAR CAR CLUB,13-GANG NUMBER.,N,Y,Approved
13AHN13,7,"13 IS MY LUCKY NUMBER AND AHN IS AN ABBREVIATION OF MY NAME ""ADRIAN H NARCISCO""",13-GANG NUMBER.,N,Y,Approved
14MNM14,7,IT REPRESENTS MY WEDDING DATE AND MY WIFE AND MY FIRST INTIALS,14-HITLER RELATED,N,Y,Approved
14MUNOZ,7,JERSEY NUMBER &LAST NAME,14-HITLER RELATED,N,Y,Approved
I$3 N88,7,NASCAR FAN I LOVE 3 AND 88,88-HITLER RELATED,Y,N,invalid characters
RMRD14,7,I WAS A HELICOPTER PILOT IN VIETNAM…MY CALL SIGN WAS RAMROD14,14-HITLER RELATED. NO 2014 CAR,N,Y,Approved
IANS 88,7,IAN'S 1988 TOYOTA,88-HITLER RELATED. DOES HAVE A 88 CAR,Y,N,invalid characters
PUAKA,5,TONGAN FOR PIG,"DOES STAND FOR PIG BUT IT IS A MC PLATE WHICH WE LET ""HOG"" GO ON?",N,Y,Approved
4FNSIZE,3,NICKNAME,FN-FUN OR FUCKEN,N,Y,Approved
BAL SAAB,1,surname,ball but name is Bal,Y,N,invalid length
BBHMMNY,3,SONG,BITCH BETTER HAVE MY MONEY,N,Y,Approved
BLACK S,2,black is for the cars color and s is for s class mercedes.,Blacks? No ani available to see mercedes,Y,N,invalid characters
BLUEVAS,2 or 1,my car is blue and my name is vas,"pulled for the color blue, also blue vein=penis (name is Vacil)",N,Y,Approved
BRTHJKY,3,BIRTH JUNKY MEANS I LOVE BIRTH,BIRTH JUNKY (???),Y,N,ky
EFF1961,3,ELVIA FORD FALCON 1961,FUCK,N,Y,Approved
FIN CITY,3,FINCITY IS ABOUT THE SAN JOSE SHARKS. IT MEANS SAN JOSE,EFFIN CITY. CUSTOMER IS 100 MILES FROM SAN JOSE,Y,N,invalid length
FMLYJWL,1,family jewel,family jewels=slang for balls,N,Y,Approved
GM4HUSL,2,game 4 hustle,GAME 4 as in baseball or basketball? Hustle as in making money by any (illegal) means?,N,Y,Approved
H8TED,2,not always liked,hated,N,Y,Approved
IFDJLPZ,1,first letter of names in my family,I FUCKED JENNIFER LOPEZ,N,Y,Approved
KARN8GE,2,my dog that passed away that I had for 13 yrs,CARNAGE as in bloodshed,N,Y,Approved
MMMBOP,1,"SHOUTOUT TO HANSON, THE BAND. 1997 SONG TITLE","BOP, SLANG FOR BLOW JOB",N,Y,Approved
PAKNA45,2,FRIVING A 1940'S CHEVY TRUCK,PACKING A 45 (GUN),N,Y,Approved
PLZRNGZ,1 OR 2,please random number generators,pleasure rings or please your nigs?,N,Y,Approved
STELR69,1,PITTSBURG STEELERS AND YEAR I WAS BORN,NO 69 CAR,N,Y,Approved
TRUERED,2,THE COLOR OF MY HAIR AND ALL OF MY CHILDREN,RED=GANG COLOR,N,Y,Approved
ULA ULA,2,HAWAIIAN WORD FOR THE COLOR RED,RED=GANG COLOR,Y,N,invalid characters
WIKED88,2,IT MEANS COOL,"88=HATE SYMBOL, NO 88 CAR",N,Y,Approved
49JPSTR,2,1949 WILLYS JEEPSTER,"JEEP OR JAP, HAS 49 JEEP",Y,N,contains the restricted letter combinationPST
69CNCPT,1,1969 PONTIAC GTO CONCEPT CAR,NO 69 CAR,N,Y,Approved
7HRDNGS,2,MY LAST NAME IS HARDING AND THERE ARE 7 OF US,HARD NIGS?,N,Y,Approved
BLUAWAY,2,1970 CHEVROLET CHEVELLE HOT ROD MUSCLE CAR IS PAINTED CORVETTE BLUE,"BLUE, GANG COLOR",N,Y,Approved
CAO1168,3,,CAO=FUCK in Mandarin Chinese but it IS customers last name,N,Y,Approved
CHIEFIN,3,"IT IS A REFERENCE TO MY RANK IN THE NAVY, CHIEF PETTY OFFICER AND HOW I AM ALWAYS CHIEFIN",SLANG FOR SMOKING WEEK,N,Y,Approved
MNSTRO,2,NO MICRO AVAILABLE,LOOKS LIKE MENSTRUAL,Y,N,"[('destroy', 90.0, 325)]"
BLTGRL5,2,BOLT GIRL ( SD CHARGERS) MY #5,LOOKS LIKE BULLET OR BILLET GRILL,Y,N,"[('girls', 88.88888888888889, 434)]"
BLU 351C,2,,BLUE,Y,N,invalid length
BSHKRFT,3,BUSHCRAFT: THE ART OF BEEING KNOWLEDGEABLE ABOUT HOW TO USE MOTHER NATURE IN ONES ADVANTAGE WHILE IN THE OUTDOORS/BACKCOUNTRY.,LOOKS LIKE BITCH CRAFT,N,Y,Approved
CKUL8TR,2,CHECK YOU LATER,CK LOOKS LIKE CRIP KILLER,N,Y,Approved
FLYTO88,2,THE DELOREAN FLIES TO 88 MPH WHEN THERE ISN'T ENOUGH ROAD. (BACK TO THE FUTURE,88 HITLER REFERENCE,N,Y,Approved
FTFML,2,,FOR THE MOTHERFUCKIN LOSS,N,Y,Approved
HEILCAT,2,HEIL TO THE CAT,CAT,N,Y,Approved
IROC51O,2,"I DRIVE AN IROC, AND MY AREA CODE IS 510",510 AREA CODE,N,Y,Approved
J GATZ,2,CHARACTER NAME FROM A BOOK,GATS SLANG FOR GUN,Y,N,invalid characters
JWGX911,2,,911 EMERGENCY,N,Y,Approved
LKMYBLZ,1,FOR A MANLY VEHICLE. MEANS LUCKY MARBELZ,LICK MY BALLS,N,Y,Approved
SCLOC94,2,,SO CAL LOC,N,Y,Approved
BLUOVRU,2,BLUE OF ROOF OF CAR,BLUE,N,Y,Approved
916S1,2,,916 AREA CODE,N,Y,Approved
EIRE14,2,,14 GANG TRANSLATION,N,Y,Approved
BB MD GAS,2,PLUMBING COMPANY - MEDICAL GAS DIVISION,BB LOOKS LIKE 88,Y,N,invalid length
GERBAL,1,NICK NAME,GERBAL COULD BE SEXUAL REFERENCE,N,Y,Approved
2LOWDED,2,,TOO LOADED AS IN HIGH,N,Y,Approved
7HNDRD7,2,CAR'S HORSEPOWER RATING IS 707,707 AREA CODE,N,Y,Approved
9O9,2,REFERENCE TO AREA CODE 909 - HOMETOWN,909 AREA CODE,N,Y,Approved
BAREBCK,1,I HAVE A CLASSIC FORD AND THE VEHICLE HAS NO STEEL ROF BUT A VINYL ROOF. SO THE MEANING IS REFERRING TO THE ROOF BEING BARE,SEX,N,Y,Approved
OGPANDA,3,I LIKE PANDAS,OG-ORIGINAL GANGSTER,N,Y,Approved
US9O9CA,7,UNITED STATES AREA CODE 909 CALIFORNIA,909-EAST LA AREA CODE,N,Y,Approved
8DDCA88,7,NO MICRO,88-HITLER,N,Y,Approved
EFFSBLK,3,NO MICRO,EF-SHORT FOR FUCK,N,Y,Approved
NEDLDOC,7,NO MICRO,NEEDLE DOC-DRUGS,N,Y,Approved
FA2O619,7,FA2O IS MANUFACTURE INTERNAL ENGINE DESIGNATION. 619 IS THE AREA CODE WHICH I LIVE,619 IS SAN DIEGO AREA CODE,N,Y,Approved
RATHOLE,1,MOTOR NAME,HOLE?,Y,N,contains the restricted letter combinationRAT
RED ENG,7,REDWOOD ENGINEERING,RED-GANG COLOR,Y,N,invalid characters
TOOHUGE,1,BIG BIKE BIG RIDER,PENIS? MC PLATE,N,Y,Approved
AC AD,2,FAMILY INITIALS,AC AD LLOKS LIKE AIR CONDITIONING AFTER DEATH.. WITH ALL THE PEOPLE DIEING IN HOT CARS JUST SEEMS A LITTLE MORBID.,Y,N,invalid characters
CAIF209,2,ELCAIFAN209,209 AREA CODE,N,Y,Approved
NOSTOOL,2,ITS THE ABREVIATIONS FOR NITROUS OXIDE RACVE GAS AND THE CAR BEING THE TOOL FOR THE USE OF THE NITROUS OXIDE GAS,STOOL IS ANOTHER WORD FOR SHIT LOOKS LIKE NO SHIT,N,Y,Approved
OL 1 GUT,5,LOW HORSE POWER VEHICLE THE PLATE IS GOING ON A CLASSIC 1950'S LOS ANGELES STYLE TRUCK,KIND OF LOOKS LIKE ALL I GOT..,Y,N,invalid length
PHILKLL,2,IT IS MY LAST NAME,KILL,N,Y,Approved
90S S13,2,93 NISSAN 240SX,13 GANG REFERENCE,Y,N,invalid characters
911 AT30,4,PORSCHE 911 AR AGE 30,911 no ani info,Y,N,invalid length
UHTRED1,2,THE CHARACTER IN A SERIES OF BOOKS CALLED THE SAXON TALES,YOU HATE RED 1,N,Y,Approved
DEEPA,1,WIFE'S FIRST NAME,DEEPA LOOKS LIKE DEEPER COULD BE SEEN AS SEXUAL,N,Y,Approved
DEPUTEE,4,,DEPUTY,N,Y,Approved
INS1314,2,,13 14 GANG REFERENCE,N,Y,Approved
AZUL 29,7,AZUL IS BLUE IN SPANISH AND 29 PERSONAL SPORT NUMBER,BLUE-GANG,Y,N,invalid characters
BLAPPIN,3,"A LOUD STERO SYSTEM ""I WAS BLAPPIN SOME BOB MARLEY""",DICK SLAPPED,N,Y,Approved
BSIKBCH,3,CALIFORNIA LIFESTYLE-BASIC BEACH LIFE,BASIC BITCH,N,Y,Approved
CI3DFWU,3,INITIALS AND FAMILY,C3 I DON’T FUCK WITH YOU,N,Y,Approved
IH8LUZN,7,I HATE LOSING,HATE,N,Y,Approved
INYOMOF,7,IN YOUR MOUTH (PEOPLE ARE ALWAYS TALKING ABOUT YOU),IN YOUR MOUTH…SEXUAL?,N,Y,Approved
KRANK,7,GOLF TERMINOLOGY. GOOD DRIVE,DRUGS. GOLF TERM,N,Y,Approved
NOTUR69,1,NOT YOUR 1969,NOT YOUR 69. NO 69 VEHICLE VERIFIED,N,Y,Approved
OPPAI,1,"MY BELOVED CAT OPPAI, A TABBY CAT THAT HAS BEEN IN MY FAMILY FOREVER",TITS IN JAPANESE,N,Y,Approved
SLKMONY,7,SLICK MONEY,SLICK MONEY. DRUG MONEY.. ILLEGAL MONEY,N,Y,Approved
WXJPC88,7,SAFE AND LUCKY NUMBER,88-HITLER,N,Y,Approved
8B8B88B,7,STAR WARS REFERENCE. THE NEW CUTE BB8 DROID,88-HITLER,N,Y,Approved
88 SF VAN,2,,88.. (CUSTOMER DOES HAVE AN 88 FORD),Y,N,invalid length
YRAD619,7,NICKNAME AND AREA CODE,619- SAN DIEGO AREA CODE,N,Y,Approved
RED KEN,7,NO MICRO,RED-GANG COLOR. NAME IS NOT KEN,Y,N,invalid characters
BLAZEUP,7,A BLAZER THAT IS LIFTED UP,SLANG FOR LIGHTING A JOINT. DOES HAVE A 88 FORD,N,Y,Approved
GEILE,1,GERMAN WORD FOR REALLY COOL LITERALLY NASTY OR WICKED,"GOOGLE TRANSLATE SAYS IT MEANS ""HORNY""",N,Y,Approved
KEVDGAF,3,KEVINS CODE NAME,DGAF-DON'T GIVE A FUCK,N,Y,Approved
PLA HARD,1,HOW TO HAVE FUN,HARD-PENIS?,Y,N,invalid length
PSYQLST,1,CYCLSIT,PSY-PUSSY,N,Y,Approved
RED CELL,7,WHAT I DID IN THE US NAVY AND I WAS THE BEST IT.,RED-GANG COLOR. IT DOES SEEM TO BE A NAVY SEAL GROUP BUT THIS IS NOT A VET PLATE,Y,N,invalid length
ROLY42O,7,NICKNAME,ROLL 420 IS SLANG FOR POT,N,Y,Approved
BLAP,1,"THE SOUND THE EXHAUST MAKES. ""BLAP BLAP BLAP""","URBAN SAYS IT MEANS ""SLAP A WOMEN IN THE FACE WITH A PENIS""",N,Y,Approved
FEI6699,1,FEI IS MY FIRST NAME. 6699 IS MY LUCKY NUMBER,69?,N,Y,Approved
ZISCH13,7,FAST,13-GANG NUMBER. NO 2013 CAR,N,Y,Approved
LXIX,1,MY BIRTHDATE 6TH SEPTEMBER,69 IN ROMAN NUMERALS,N,Y,Approved
MOB,7,VEHICLE NICKNAME,MEMBERS OF BLOOD,N,Y,Approved
MOXIE13,7,MY NICKNAME AND FAVORITE NUMBER,13-GANG,N,Y,Approved
PUINSAI,7,SURFING THE WAVES,"STARTED AS A SURFING TERM, CAN MEAN SEX IN HAWAIIAN",N,Y,Approved
TUNA,1,NO MICRO,VAGINA?,N,Y,Approved
XBOXFTW,7,MICROSOFT XBOX FOR THE WIN,FTW,N,Y,Approved
7O7 HPHC,7,DODGE CHALLENGER HELLCAT 707 HORSEPOWER,SANTA ROSA AREA CODE,Y,N,invalid length
8O5BLD2,7,NO MICRO,SANTA BARBARA AREA CODE,N,Y,Approved
BIGGBLU,7,VAN IS THE COLOR BLUE,BLUE-GANG,Y,N,bi
BLU KLUZ,7,MY CAR IS BLUE AND MY NAME IS KLUZAK AND I ALWAYS WATCHED BLUES CLUES WHEN I WAS YOUNGER,BLUE-GANG. LAST NAME IS KLUZAK,Y,N,invalid length
DANKGRL,7,"LAST NAME, FEMALE",DANK-REALLY GOOD WEED. LAST NAME IS DENKLER.,N,Y,Approved
BLOWN 68,1,"SUPERCHARGED 1968 MUSTANG. BLOWN MEANS THAT THE CAR IS SUPERCHARGED AKA A BLOWER. A SUPERCHARGER BLOWS AIR, HINTS THE NAME ""BLOWN 68""","BLOWN, CAN HAVE SEXUAL CONNOTATION. DOES HAVE A 68 FORD",Y,N,invalid length
BLWN 54,1,I HAVE A NEW MOTOR WITH BLOWER ON IT,"BLOWN, CAN HAVE SEXUAL CONNOTATION. DOES HAVE A 54 FORD",Y,N,invalid characters
HELLCO,3,EL CAMINO,HELL. HAS AN EL CAMINO,Y,N,contains the restricted letter combinationHEL
HR4U2H8,2,MOTIVATIONAL,HERE FOR YOU TO HATE,N,Y,Approved
ISIS 4 7,2,DAUGHTERS NAME IS ISIS. 47 IS NUMERICALLY 'I' AND 'S',ISIS,Y,N,invalid length
JZS4PLY,1,TO USE FOR FUN AND TO ENJOY,FOREPLAY,N,Y,Approved
OSTKILR,2,MASCOT/NICKNAME/INSIDE JOKE,KILLER,N,Y,Approved
RESQKAT,1,RESTORED JAGUAR,"KAT=PUSSY, NO JAG ON ANI",N,Y,Approved
STDHB69,1,HERMOSA BEACH STRAND 1969,NO 69,N,Y,Approved
VZYPZY,1,MY INITIALS FROM MY MAIDEN AND MARRIED NAME,NOT HER INITIALS. PUSSY?,N,Y,Approved
ARMYSS,2,ARMY AND THE CAR IS AN SS,SS WAS HITLER'S ARMY. CANT FIND HIM WITH ANI TO SEE WHAT KIND OF CAR HE HAS. IT IS A VETERAN PLATE WITH A SPECIAL FORCES DECAL REQUESTED,N,Y,Approved
LOLRICE,2,TO HONOR MY ASIAN CULTURE,IS THIS RACIALLY OFFENSIVE?,N,Y,Approved
MOBWRTY,2,MOB WORTHY BUSINESS NAME,"MOB IS RESTRICTED, MEMBER OF BLOODS AND ORGANIZED CRIME",N,Y,Approved
N2TRIPN,3,INTO TAKING ROAD TRIPS,TRIPIN CAN REFER TO DRUGS,N,Y,Approved
PP4HAIR,3,PAULA PEMBROKE 4 HAIR,"PEEPEE FOR HAIR, IT IS HER INITIALS",N,Y,Approved
PROLIF 1,4,NO QUICKWEB,OK? FYI PROLIFE OUT SINCE 1990 AND CURRENT,Y,N,invalid length
PROLIF 2,4,NO QUICKWEB,SAME CUSTOMER AS ABOVE,Y,N,invalid length
ALLICAT,1,NICKNAME,LOOKS LIKE ALLEY CAT,N,Y,Approved
BMB2O,2,BMB20 = BABYMANBEN 2.0 - MEANS I HAVE TWO KIDS AND MY NICKNAME IS BMB,"BOMB 20 LOOKS LIKE TWENTY SACK OF BOMB WEE CHRONIC, OR LOOKS LIKE BOMB",N,Y,Approved
BUNBUR1,2,ARTIST NAME,BUN AS IN BUTT,1,N,contains the restricted letter combinationBUN
HLA BLSD,,HELLA BLESSED,HELLA BLESSED.. MEANING GOD HAS BLESSED ME ABUNDANTLY .,Y,N,invalid length
L8RHATR,2,ITS FUNNY TO ME,LATER HATER,N,Y,Approved
MYAUSSE,1,MY AUSTRALIA,LOOKS  LIKE MY ASS OR AUSSE AS IN AUSTRALIA,Y,N,"[('pusses', 90.0, 1289)]"
SD619,2,SD-IS FOR SAN DIEGO 619-IS FOR AREA CODE,619 AREA CODE,N,Y,Approved
TMFRITG,2,IN MEMORY OF MY LOST BROTHERS,TIME FOR IT G,N,Y,Approved
VBGLS13,2,NAMES OF MY 5 CHILDREN AND YEAR I GOT MARRIED VALERIE BRIAN GABRIEL LUIS AND SAM,13 GANG REFERENCE,N,Y,Approved
2KIKGAS,2,DRIVING A ELECTRIC CAR IS HOW YOU KICK GASOLINE,GAS,Y,N,contains the restricted letter combinationKIK
6JESSE9,1,JESSES 69 LICENSE PLTE,69 SEXUAL REFERENCE,N,Y,Approved
91SIC,2,"916 MEANING AREA CODE, MIX WITH SIC MEANING NICE CAR.",916 AREA CODE(CUSTOMER LIVES IN SACRAMENTO),N,Y,Approved
99DWL88,2,,88 HITLER REFERENCE,N,Y,Approved
NIJJAR,2,LAST NAME,LOOKS A LOT LIKE NIGGAR OR NIGGER,N,Y,Approved
UR1H8R,2,WHITE AND BLACK CAR SHOW VEHICLE.,YOURE A HATER,N,Y,Approved
WGASAF,3,WOMEN GIRLS AMEERICAN SKI ASSOCIATION FAITH,GAS AS FUCK,N,Y,Approved
YAYOKAN,2,,YAYO AS IN COCAINE,N,Y,Approved
RD2 HEL,2,HAVING A HARD TIME ON THE ROAD WHEN STUCK IN TRAFFIC,RIDE TO HELL,Y,N,invalid characters
BOTL4O8,7,NO MICRO,408- SAN JOSE AREA CODE,N,Y,Approved
BBMOBS,7,BIG BLACK MAN ON B SIDE (DISNEYLAND NICKNAME FOR THE MATTERHORN),MOB-MEMBER OF BLOOD,N,Y,Approved
CHGR8O5,7,TYPE OF CAR I HAVE IS DODGE CHARGER AND I GRADUATED AUGUST 2005,805 CA AREA CODE,N,Y,Approved
HATE,7,NO MICRO,HATE,N,Y,Approved
KOSKISH,7,CHILDHOOD NICKNAME,KOSKESH IS JACKASS,N,Y,Approved
SHGWAGN,1,GIRLFRIENDS FIRST STATION WAGON,SHAG-SEX,N,Y,Approved
DIANE14,7,MY FIRST NAME AND YEAR OF MY CAR,14-HITLER,N,Y,Approved
LEXOX18,7,NO MICRO,18-HITLER,N,Y,Approved
SUE BLUE,7,SUBARU BLUE,BLUE-GANG,Y,N,invalid length
LUX 13,7,LUX IS LATIN FOR LIGHT. 13 IS FOR VEHICLE YAER OF 2013,13-GANG,Y,N,invalid characters
CRAZZEE,2,I'M CRAZY FUN!,CRAZY,Y,N,azz
DTF24HR,2,,DOWN TO FUCK 24 HOURS A DAY,N,Y,Approved
MRBGSTF,1,I'M A COOL GUY THATS BIG.,MR BIG STUFF COULD BE THE SONG OR COULD BE  A  SEXUAL REFERENCE,N,Y,Approved
SNOWPNK,1,THESE ARE MY WIFE'S FAVORITE THINGS(THE SNOW AND THE COLOR PINK) AND WOULD LIKE TO HAVE ON HER VEHICLE.,SNOW PINK PINK IS  SLANG FOR VAGINA LOOKS LIKE WHIOTE VAGINA,N,Y,Approved
ST8H8TN,2,STRAIGHT HATING,STRAIGHT HATIN,N,Y,Approved
WRK HSE,2,WORK HORSE.,WORK HORSE OR WORK HOES,Y,N,invalid characters
14ALP17,2,"14' IS THE YEAR OF MY DAUGHTER'S BIRTHDAY. ""ALP"" IS THE INITIALS OF MY DAUGHTER AND FIANCE. 17' IS THE YEAR WE WILL GET MARRIED",14 GANG REFERENCE,N,Y,Approved
44TO,2,,442 AREA CODE,N,Y,Approved
6OGASSR,2,CLASSIC,GASSER COULD MEAN FART,Y,N,contains the restricted letter combinationASS
7O7FAST,2,707 HORSE POWER FAST,707 AREA CODE,Y,N,"[('fat', 85.71428571428572, 373)]"
BBW4G$D,1,BIG BEAUTIFUL WOMAN FOR GOD,BBW BIG BEAUTFUL WOMAN OR BODACIOUS BEDROOM WARRIOR,Y,N,invalid characters
MOM 515O,2,,5150 CRAZY,Y,N,invalid length
UB2JLS,2,YOU ARE TOO JEALOUS,YOU BE TO JEALOUS,N,Y,Approved
URABUS1,2,,SUBARU BACKWARDS BUT ALSO SAYS UR A BUS MEANING YOU ARE BIG,N,Y,Approved
PYMPT89,7,NO MICRO,PIMPED 89,N,Y,Approved
HELL NOE,3,Duplicate plate order,HELL NO. LAST NAME IS NOE,Y,N,invalid length
OGKEVO,7,NO MICRO,OG,N,Y,Approved
PEEROW,1,NO MICRO,PEE?,Y,N,contains the restricted letter combinationPEE
62OOOOK,7,NO MICRO,OLD PLACARD NUMBER,N,Y,Approved
DEEBO,7,MY DOGS NAME,"URABN SAYS SLANG FOR ""STEALING"" 286 UP 151 DOWN?",N,Y,Approved
FNFIVE7,3,IT'S THE NAME OF A MILITARY WEAPON,FN-FUCKEN,N,Y,Approved
MLFMAMA,1,MOTHER LOVING FRIEND MAMA,MOTHER LIKE TO FUCK MAMA?,N,Y,Approved
BLZNJEP,7,BLAISE JEEP,"BLAZEN CAN BE SLANG FOR SMOKING MARIJUANA , NO VEHICLE ON RECORD SO DON'T KNOW IF THEY HAVE A JEEP",N,Y,Approved
BOXRIDE,1,PORSCHE BOXSTER I LIKE TO RIDE,BOX-SLANG FOR VAGINA. THEY DO HAVE A 2015 JEEP SORTA SHAPED LIKE A BOX. BUT WHEN YOU THROW IN RIDE CAN BE SEXUAL,N,Y,Approved
MIKKI88,7,THE NAME OF THE PERSON DRIVING,88-HITLER RELATED,N,Y,Approved
ARMA SIT,2,MY COMAPNY NAME,GIN REFERENCE,Y,N,invalid length
BIG ENUF,1,LICENSE PLATE FOR A MINI COOPER,BIG ENOUGH COULD BE A SEXUAL REFERENCE OR REFER TO CAR SIZE,Y,N,invalid length
B8B8B8,2,HAS NO SPECIAL MEANING,COULD BE A LOOKS ALIKE OR A SUBSTITUTION,N,Y,Approved
DRIVRDI,2,I LOVE TO DRIVE,DRIVE OR DIE,N,Y,Approved
FOWL LVN,2,WATER FOWL LIVING. DUCK AND GOOSE HUNTING,FOUL LIVING,Y,N,invalid length
GO BLAU,2,TRIBUTE TO THE UNIVERSITY OF MICHIGAN,GO BLUE,Y,N,invalid characters
GON 2 HEL,2,OWN STOCK IN THE HEL RECORD MUSIC COMPANY,GONE TO HELL,Y,N,invalid length
GS GILL,2,LAST NAME,GS AS IN GANGSTER,Y,N,invalid characters
HKS 1973,2,HECK'S 1973,LOOKS LIKE HICKS,Y,N,invalid length
HULLCAT,1,NAME OF OUR PET CAT: HULK.,LOOKS LIKE HELL CAT,N,Y,Approved
HW530,2,NAME & BIRTH DATE,530 AREA CODE,N,Y,Approved
JOBENG,1,"IT IS MY FIRST INITIAL AND LASTNAME, MY NICKNAME/SCREEN NAME.",SOUNDS LIKE JOE BANG A SEXUAL REFERENCE,N,Y,Approved
K SERO,2,NICKNAME,CAT,Y,N,invalid characters
KSS MY 66,3,KISS MY 66 CAR,LOOKS LIKE KISS MY ASS,Y,N,invalid length
LIL BLEU,2,ITS A LITTLE BLUE DATSUN 240Z CAR I RESTORED,LITTLE BLUE,Y,N,invalid length
MUDR4KR,2,MUD RUNNER FOR KING RAT,MOTHER FUCKER,N,Y,Approved
OG85CJ7,2,ORIGIONAL 1985 CJ7,OG ORIGINAL GANGSTER,N,Y,Approved
OHSOH8D,2,OH SO HATED,OH SO HATED,N,Y,Approved
PLM LOCO,2,PLUM CRAZY IS THE COLOR OF THE CAR. LOCO IS CRAZY,PLUM CRAZY,Y,N,invalid length
RAK 71,2,INITIALS OF OWNER AND YEAR OF VEHICLE,RACK SLANG FOR BOOBS,Y,N,invalid characters
RDNGJ,1,FAMILY INITIALS,RIDING J,N,Y,Approved
RDSTONR,2,REDSTONE RD,STONER,N,Y,Approved
RJ88USA,2,ROBERTO JOCELYN 1988 TO USA,88 HITLER REFERENCE,N,Y,Approved
TALIBAN,2,MY CHILDHOOD NICKNAME. SPANISH FOR A GUY NAMED IBAN.,TALIBAN,N,Y,Approved
TSKN R8R,2,STAR WARS CHARACTER,TUSKIN RAIDER HOSTILE PEOPLE,Y,N,invalid length
UGLMF,2,UNDER GOD LOVE MY FAMILY,UGLY MOTHER FUCKER,N,Y,Approved
1951 BOM,2,1951 CHEVROLET BOMB,BOM LOOKS LIKE BOMB,Y,N,invalid length
RED$JOY,2,THE CAR IS RED AND OWNER IS NAMED JOY,RED,Y,N,invalid characters
BIG BLU1,2,BIG BLUE #1,BLUE,Y,N,invalid length
ABRL14,2,ABRIELLE 14,14 GANG REFERENCE,N,Y,Approved
YGBSM,2,"YOU GOTTA BE SHOOTING ME, MOTTO OF THE USAF AIRCRAFT I FLEW IN DESERT STORM",YOU GOT TO BE SHITTIN ME,N,Y,Approved
RIFLMN,2,RIFLEMAN,RIFLE MAN,N,Y,Approved
BAGDBUM,2,CAR IS ON AIR BAGS,BAGGED BUM,Y,N,contains the restricted letter combinationBAG
G88888Y,2,THE G AND THE Y ARE MY INITIALS. 88888 STANDS FOR PROSPERITY IN CHINESE CULTURE.,LOOKS LIKE GAY,Y,N,must be for disabled person or veteran
HH 20,2,INITIALS AND BIRTHDAY,HAIL HITLER,Y,N,invalid characters
SIEGEUP,2,FAMOUS QUOTE OF A GAME CHARACTER,TO ATTACK,N,Y,Approved
1BDAZTT,2,ONE BAD ARIZONA TWIN TURBO,1 BAD ASSS TT,N,Y,Approved
666 STR8,2,,666 DEVIL,Y,N,invalid length
8O5LID3,7,NO MICRO,8O5 SANTA PAULA AREA CODE,N,Y,Approved
YU13O,7,NO MICRO,13-GANG,N,Y,Approved
DABZILA,7,NO MICRO,DAB-WEED,N,Y,Approved
OFCSGVN,3,NO MICRO,ZERO FUCKS GIVEN,N,Y,Approved
QSHP51O,7,NO MICRO,510 OAKLAND AREA CODE,N,Y,Approved
68ASASN,7,NO MICRO,ASSASIN-TO KILL? HE DOES HAVE A 68 CAR,N,Y,Approved
